Morse_Chain_Id,Shannon_Service_id
A0CA,tia_da
A0CB,tia_cons
A0CC,tia_da_test
A0CD,tia_cons_test
F000,anvil
F001,arb_one
F002,arb_sep_test
F003,avax
F004,avax
F005,base
F006,base-test
F007,bitcoin
F008,blast
F009,bsc
F00A,boba
F00B,celo
F00C,eth
F00D,eth_hol_test
F00E,eth_sep_test
F00F,evmos
F010,fantom
F011,fraxtal
F012,fuse
F013,gnosis
F014,harmony
F015,iotex
F016,kaia
F017,kava
F018,metis
F019,moonbeam
F01A,moonriver
F01B,near
F01C,oasys
F01D,op
F01E,op_sep_test
F01F,opbnb
F020,osmosis
F021,poly
F022,poly_amoy_test
F023,radix
F024,scroll
F025,solana
F026,sui
F027,taiko
F028,taiko_hek_test
F029,poly_zkevm
F02A,zklink_nova
F02B,zksync_era
F02D,sonic
F02E,tron
F030,linea
F032,ink
F033,mantle
F034,sei
F035,bera
F036,xrpl_evm_testnet